"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "TypeScript", "JavaScript JSX", "CSS", "XML", "Django HTML", "Properties", "TypeScript JSX", "comment", "blank", "total"
"d:\Websites\Prescripto\Cloud Storage\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 153, 0, 26, 179
"d:\Websites\Prescripto\Cloud Storage\components\ui\input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 9, 72
"d:\Websites\Prescripto\Cloud Storage\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 5, 26
"d:\Websites\Prescripto\Cloud Storage\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 6, 27
"d:\Websites\Prescripto\Cloud Storage\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 13, 159
"d:\Websites\Prescripto\Cloud Storage\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"d:\Websites\Prescripto\Cloud Storage\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 16, 141
"d:\Websites\Prescripto\Cloud Storage\components\ui\toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 14, 130
"d:\Websites\Prescripto\Cloud Storage\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 4, 36
"d:\Websites\Prescripto\Cloud Storage\constants\index.ts", "TypeScript", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 5, 88
"d:\Websites\Prescripto\Cloud Storage\hooks\use-toast.ts", "TypeScript", 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 3, 32, 195
"d:\Websites\Prescripto\Cloud Storage\lib\actions\file.actions.ts", "TypeScript", 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 1, 36, 237
"d:\Websites\Prescripto\Cloud Storage\lib\actions\user.actions.ts", "TypeScript", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 1, 28, 144
"d:\Websites\Prescripto\Cloud Storage\lib\appwrite\config.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Websites\Prescripto\Cloud Storage\lib\appwrite\index.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 9, 49
"d:\Websites\Prescripto\Cloud Storage\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 204, 0, 0, 0, 0, 0, 0, 10, 22, 236
