"filename", "language", "JavaScript", "JSON", "HTML", "Markdown", "Docker", "XML", "JavaScript JSX", "YAML", "JSON with Comments", "Properties", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"d:\Websites\Prescripto\website\backend\migrations\add-settings-fields.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 56
"d:\Websites\Prescripto\website\backend\migrations\addAutoCancelFields.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 25, 120
"d:\Websites\Prescripto\website\backend\models\BedCategory.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"d:\Websites\Prescripto\website\backend\models\BedHistory.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 51
"d:\Websites\Prescripto\website\backend\models\Blog.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 118
"d:\Websites\Prescripto\website\backend\models\BlogPost.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 44
"d:\Websites\Prescripto\website\backend\models\Floor.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"d:\Websites\Prescripto\website\backend\models\Hospital.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"d:\Websites\Prescripto\website\backend\models\Inventory.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 84
"d:\Websites\Prescripto\website\backend\models\Medicine.js", "JavaScript", 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 200
"d:\Websites\Prescripto\website\backend\models\Patient.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 95
"d:\Websites\Prescripto\website\backend\models\Room.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"d:\Websites\Prescripto\website\backend\models\Todo.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 39
"d:\Websites\Prescripto\website\backend\models\User.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
"d:\Websites\Prescripto\website\backend\models\Ward.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 60
"d:\Websites\Prescripto\website\backend\models\accessUserModel.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\Websites\Prescripto\website\backend\models\activeSessionModel.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\Websites\Prescripto\website\backend\models\adminCredentialModel.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Websites\Prescripto\website\backend\models\adminModel.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 78
"d:\Websites\Prescripto\website\backend\models\admissionModel.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 55
"d:\Websites\Prescripto\website\backend\models\apiPackageModel.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 46
"d:\Websites\Prescripto\website\backend\models\appointmentModel.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 64
"d:\Websites\Prescripto\website\backend\models\communityModel.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 53
